Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2024,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2024,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
MSitAE-MARCH-2024,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,16063,0,8681,0,0,699,6131,0,0,0,0,0,82,6,4818,0,0,2322
MSitAE-MARCH-2024,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,4049,0,0,192,0,0,37,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2024,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2651,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2024,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2771,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2024,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
MSitAE-MARCH-2024,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11073,0,0,22,0,0,1946,0,0,0,0,0,163,37,1819,0,0,342
MSitAE-MARCH-2024,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,3243,0,0,0,0,0,74,0,0,0,0,0,0,0,1,145
MSitAE-MARCH-2024,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15474,0,0,0,0,0,3637,0,0,0,0,0,1187,2,3184,0,0,272
MSitAE-MARCH-2024,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,9136,0,10995,339,0,302,4160,0,121,110,0,0,544,439,2800,0,0,1455
MSitAE-MARCH-2024,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,10692,0,0,0,0,0,780,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2024,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6751,0,0,1656,0,0,13,0,0,3,0,0,0,0,0,0
MSitAE-MARCH-2024,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1727,0,0,25,0,0,90,0,0,2,0,0,0,0,0,0
MSitAE-MARCH-2024,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2024,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
